,Model,Neuron,Test_RMSE,Train_RMSE,Conv_Layer,Dilation_Rate
0,MLP,5.0,6042.882034961591,5462.229096751086,,
1,MLP,10.0,4938.4527318397395,4760.309233652789,,
2,MLP,15.0,4622.973967879584,4516.038983246484,,
3,MLP,20.0,4420.1596647110455,4538.943915408067,,
4,MLP,25.0,4589.5131759597,4480.835645303374,,
5,MLP,30.0,4693.205926164397,4534.024205553184,,
6,RNN,5.0,16522.92959682206,17066.688660082647,,
7,RNN,10.0,16522.930025131278,17066.688632852394,,
8,RNN,15.0,16522.929969264856,17066.68871324648,,
9,RNN,20.0,16522.929894776298,17066.68864322582,,
10,RNN,25.0,4990.426951058011,4305.522026395719,,
11,RNN,30.0,5420.100580957175,4384.531681535674,,
12,LSTM,5.0,16659.066295748806,17260.801921273003,,
13,LSTM,10.0,5298.558555798999,5058.705181508043,,
14,LSTM,15.0,16522.295016594537,17066.00595993742,,
15,LSTM,20.0,6333.627080907117,5708.749693672592,,
16,LSTM,25.0,6790.000974283379,7552.782464753593,,
17,LSTM,30.0,7448.595784028434,6533.871118662914,,
18,GRU,5.0,10564.579310128729,11377.849774618047,,
19,GRU,10.0,16522.29598498298,17066.007446963285,,
20,GRU,15.0,4789.987570242424,4777.474902134556,,
21,GRU,20.0,4713.295584750735,4742.918920515475,,
22,GRU,25.0,5586.753522671009,5314.8676519435885,,
23,GRU,30.0,4829.3033818394715,4676.893580754054,,
24,CNN,,8053.640801143676,6644.219484126811,1.0,
25,CNN,,8032.193071537906,6717.886021473599,2.0,
26,WaveNet,,5042.545335595751,4488.367464980063,1.0,2.0
27,WaveNet,,5208.171297992297,4386.315416881943,2.0,4.0
28,WaveNet,,4872.404460917549,4384.481461634153,3.0,8.0
29,WaveNet,,5391.809583222573,4628.840689036654,4.0,16.0
30,WaveNet,,5063.5000664636045,4470.2032288622595,5.0,32.0
