,Model,Neuron,Test_RMSE,Train_RMSE
0,MLP,5.0,4864.140124816117,4579.359360072764
1,MLP,10.0,4569.32019855504,4526.895370070191
2,MLP,15.0,4492.957908686745,4509.160987501258
3,MLP,20.0,4567.138328276842,4740.720913905479
4,MLP,25.0,4578.662418049789,4496.439925096298
5,MLP,30.0,4567.969364540946,4556.888751251922
6,RNN,5.0,5711.660717676265,4601.587734889019
7,RNN,10.0,5336.09832973638,4561.039619515313
8,RNN,15.0,16522.930397574062,17066.68861340221
9,RNN,20.0,5271.096630902121,4479.707370716036
10,RNN,25.0,5259.549322605795,4505.346007193749
11,RNN,30.0,5179.064683898049,4180.545504651181
12,LSTM,5.0,16522.2960967201,17066.0075101789
13,LSTM,10.0,7347.331676821917,6994.488895855522
14,LSTM,15.0,6757.996579551574,7635.620709338183
15,LSTM,20.0,13681.733178557122,13467.298930832152
16,LSTM,25.0,16522.296506422885,17066.008065827948
17,LSTM,30.0,7430.409246125267,6624.648061321915
18,GRU,5.0,5653.094482738567,5332.921231139462
19,GRU,10.0,16522.29561252589,17066.006075184363
20,GRU,15.0,6777.498838067035,6294.408246662825
21,GRU,20.0,4669.332681691003,4458.701096606463
22,GRU,25.0,5271.684112749491,4532.824517963393
23,GRU,30.0,4739.264532360724,4662.32880417983
24,WaveNet,5.0,4899.258405419837,4280.906071929224
25,WaveNet,10.0,4816.4356913832835,4239.503334777298
26,WaveNet,15.0,4803.243983937394,4320.777971225225
27,WaveNet,20.0,4869.364881188701,4283.443045454375
28,WaveNet,25.0,4879.068243330577,4218.216652675314
29,WaveNet,30.0,4818.380257689539,4076.179584893035
